0.1	0.3	0.3	0.3	
0.1	0.295	0.31	0.295	
0.115	0.29	0.305	0.29	
0.13	0.285	0.3	0.285	
0.145	0.28	0.295	0.28	
0.14	0.295	0.29	0.275	
0.135	0.29	0.285	0.29	
0.13	0.285	0.3	0.285	
0.125	0.28	0.315	0.28	
0.12	0.295	0.31	0.275	
0.115	0.31	0.305	0.27	
0.11	0.325	0.3	0.265	
0.125	0.32	0.295	0.26	
0.14	0.315	0.29	0.255	
0.135	0.31	0.285	0.27	
0.13	0.305	0.28	0.285	
0.125	0.32	0.275	0.28	
0.12	0.335	0.27	0.275	
0.115	0.33	0.285	0.27	
0.13	0.325	0.28	0.265	
0.125	0.34	0.275	0.26	
0.12	0.355	0.27	0.255	
0.115	0.37	0.265	0.25	
0.11	0.365	0.28	0.245	
0.105	0.36	0.295	0.24	
0.1	0.375	0.29	0.235	
0.1	0.37	0.285	0.245	
0.1	0.365	0.295	0.24	
0.1	0.375	0.29	0.235	
0.1	0.385	0.285	0.23	
0.115	0.38	0.28	0.225	
0.11	0.375	0.295	0.22	
0.105	0.39	0.29	0.215	
0.1	0.405	0.285	0.21	
0.115	0.4	0.28	0.205	
0.11	0.395	0.295	0.2	
0.105	0.39	0.29	0.215	
0.1	0.385	0.285	0.23	
0.1	0.395	0.28	0.225	
0.1	0.405	0.275	0.22	
0.1	0.4	0.27	0.23	
0.1	0.41	0.265	0.225	
0.115	0.405	0.26	0.22	
0.11	0.42	0.255	0.215	
0.105	0.435	0.25	0.21	
0.1	0.45	0.245	0.205	
0.115	0.445	0.24	0.2	
0.13	0.44	0.235	0.195	
0.125	0.435	0.25	0.19	
0.12	0.43	0.265	0.185	
0.115	0.445	0.26	0.18	
0.11	0.46	0.255	0.175	
0.105	0.455	0.25	0.19	
0.1	0.47	0.245	0.185	
0.1	0.465	0.24	0.195	
0.1	0.475	0.235	0.19	
0.115	0.47	0.23	0.185	
0.11	0.465	0.225	0.2	
0.105	0.46	0.22	0.215	
0.1	0.455	0.215	0.23	
0.1	0.45	0.21	0.24	
0.1	0.445	0.22	0.235	
0.1	0.44	0.215	0.245	
0.115	0.435	0.21	0.24	
0.11	0.43	0.225	0.235	
0.105	0.425	0.22	0.25	
0.1	0.42	0.215	0.265	
0.1	0.415	0.21	0.275	
0.115	0.41	0.205	0.27	
0.11	0.405	0.22	0.265	
0.125	0.4	0.215	0.26	
0.14	0.395	0.21	0.255	
0.135	0.39	0.205	0.27	
0.15	0.385	0.2	0.265	
0.145	0.38	0.195	0.28	
0.14	0.375	0.19	0.295	
0.135	0.37	0.205	0.29	
0.13	0.365	0.22	0.285	
0.145	0.36	0.215	0.28	
0.16	0.355	0.21	0.275	
0.155	0.35	0.205	0.29	
0.17	0.345	0.2	0.285	
0.165	0.36	0.195	0.28	
0.18	0.355	0.19	0.275	
0.175	0.35	0.205	0.27	
0.17	0.345	0.22	0.265	
0.165	0.34	0.235	0.26	
0.16	0.335	0.25	0.255	
0.175	0.33	0.245	0.25	
0.17	0.325	0.24	0.265	
0.165	0.34	0.235	0.26	
0.16	0.335	0.25	0.255	
0.155	0.33	0.245	0.27	
0.15	0.345	0.24	0.265	
0.145	0.34	0.235	0.28	
0.14	0.355	0.23	0.275	
0.135	0.37	0.225	0.27	
0.15	0.365	0.22	0.265	
0.165	0.36	0.215	0.26	
0.18	0.355	0.21	0.255	
0.195	0.35	0.205	0.25	
