3.41086	3.63912
9.26711	28.5898
2.0882	10.889
1.78858	12.2774
4.05974	0.242175
0.539525	5.03556
6.28919	16.9405
6.53296	20.3201
7.34641	30.3703
0.674372	6.32201
1.92174	11.8134
2.33849	11.6329
2.91328	7.52526
3.0082	6.54748
7.06111	24.4923
7.81312	32.1491
1.66809	12.7125
6.10685	14.0039
6.48305	19.0472
3.01685	6.41932
1.85697	12.3663
9.87472	28.549
1.91685	11.2168
2.65115	9.56845
8.61087	32.2124
2.78741	8.60931
3.05966	6.04692
4.86459	0.844869
1.07501	10.2079
2.07808	12.6752
7.94582	30.4144
2.10737	12.4697
8.25122	30.2891
2.88003	7.09981
3.33248	3.93502
9.32154	28.9005
5.97022	11.739
2.7895	7.62116
2.77187	8.14614
3.74946	1.65753
0.662276	6.42057
8.29157	31.6161
2.78891	8.1928
8.52354	31.0892
7.00026	24.0894
4.54807	-0.157688
7.21667	29.3434
9.11884	29.6319
3.22076	4.78972
9.84787	24.3863
9.92419	26.4747
7.57645	28.9482
0.823581	7.67909
2.34043	10.4393
3.49932	3.075
8.4671	34.7854
9.27874	28.8276
3.00063	6.2066
7.75518	31.548
5.61681	6.48862
8.60812	33.5208
4.82239	0.689412
1.44176	10.9491
1.45652	12.0434
2.65362	8.74075
4.16185	-0.0332779
9.63711	28.9221
0.258495	2.7952
4.46551	-0.260391
9.9982	24.3559
0.989036	8.49809
4.50173	-0.24568
2.39059	9.78353
0.415601	4.30532
6.5888	21.1166
3.77953	1.44811
6.46752	17.5494
5.53333	6.63476
5.81829	10.0286
8.96701	30.0203
