0.2	0.2	0.2	0.2	0.2	
0.232	0.192	0.192	0.192	0.192	
0.224	0.184	0.184	0.224	0.184	
0.216	0.176	0.176	0.216	0.216	
0.248	0.168	0.168	0.208	0.208	
0.24	0.16	0.16	0.2	0.24	
0.232	0.152	0.152	0.232	0.232	
0.224	0.144	0.144	0.264	0.224	
0.216	0.136	0.176	0.256	0.216	
0.208	0.128	0.168	0.248	0.248	
0.2	0.12	0.16	0.28	0.24	
0.192	0.112	0.152	0.312	0.232	
0.184	0.104	0.184	0.304	0.224	
0.176	0.1	0.212	0.296	0.216	
0.168	0.1	0.236	0.288	0.208	
0.16	0.1	0.228	0.312	0.2	
0.152	0.1	0.22	0.336	0.192	
0.144	0.1	0.212	0.328	0.216	
0.136	0.1	0.204	0.32	0.24	
0.128	0.1	0.196	0.344	0.232	
0.12	0.132	0.188	0.336	0.224	
0.112	0.124	0.18	0.368	0.216	
0.104	0.156	0.172	0.36	0.208	
0.1	0.184	0.164	0.352	0.2	
0.1	0.176	0.188	0.344	0.192	
0.132	0.168	0.18	0.336	0.184	
0.124	0.16	0.212	0.328	0.176	
0.116	0.192	0.204	0.32	0.168	
0.108	0.224	0.196	0.312	0.16	
0.1	0.216	0.188	0.344	0.152	
0.1	0.208	0.18	0.336	0.176	
0.1	0.2	0.172	0.328	0.2	
0.132	0.192	0.164	0.32	0.192	
0.124	0.184	0.156	0.352	0.184	
0.116	0.176	0.188	0.344	0.176	
0.108	0.168	0.18	0.336	0.208	
0.14	0.16	0.172	0.328	0.2	
0.132	0.152	0.204	0.32	0.192	
0.164	0.144	0.196	0.312	0.184	
0.156	0.136	0.188	0.304	0.216	
0.148	0.128	0.22	0.296	0.208	
0.14	0.16	0.212	0.288	0.2	
0.132	0.152	0.204	0.28	0.232	
0.164	0.144	0.196	0.272	0.224	
0.196	0.136	0.188	0.264	0.216	
0.188	0.128	0.18	0.256	0.248	
0.18	0.12	0.172	0.248	0.28	
0.172	0.112	0.204	0.24	0.272	
0.164	0.104	0.236	0.232	0.264	
0.156	0.136	0.228	0.224	0.256	
0.188	0.128	0.22	0.216	0.248	
